"n_pubs","sd","mean"
1,0.0941890667499631,-0.0124622956886596
2,0.0749913150687092,-0.00761427838458802
4,0.0946782427394355,-0.013937745451925
8,0.107533020261386,-0.01702651571046
16,0.0703280378856895,-0.00709550695782379
32,0.37355659929434,-0.0303007883856249
64,0.277304272129664,0.0096439509413272
128,0.506963104743792,-0.0340570652539767
