"n_pubs","A0","Ap","pct_slower","qos"
1,92.2292584295126,0.00171449648003817,0,0
2,109.724651969231,0.00190751821069969,11.2582167947771,0
4,119.500759789971,0.00226180559007327,31.9224399937476,0
8,136.794656989906,0.00259517105646833,51.3663683001875,0
16,163.671234997248,0.0029950640005653,74.6905890701282,0
32,176.170037059884,0.00407171182930592,137.487325095894,0
64,173.114017550798,0.00623817936337721,263.84906215954,0
128,156.325341384952,0.0108044384071749,530.181428365158,0
1,94.3740281879978,0.00172440872953376,0,1
2,110.852870439746,0.00188421481832527,9.2672975991442,1
4,120.694738873682,0.00225312371909158,30.6606537361227,1
8,138.960697536316,0.00257774459232723,49.4857076619062,1
16,164.570898423505,0.00300810485578471,74.4426831217695,1
32,183.974280733781,0.00389882630400411,126.096414221834,1
64,187.736525775791,0.00604473081314389,250.539330358079,1
128,163.059869501599,0.010812527279896,527.028099238366,1
1,290.583149868928,0.00235138447463719,0,2
2,379.280849213985,0.00208406898396174,-11.3684296872249,2
4,406.204552518114,0.00240304007472149,2.19681641354141,2
8,441.758206669277,0.00292196862842313,24.2658808008834,2
16,480.014149052099,0.00354236810317254,50.6503143735826,2
32,512.204472647465,0.00548796932486897,133.39310878608,2
64,481.531216368142,0.00973402679632741,313.970020697246,2
128,514.177088691709,0.0150647428901139,540.675442600186,2
