"n_pubs","sd","mean"
1,0.0923171000438155,-0.0116120020407221
2,0.0820143995779514,-0.0080794015374643
4,0.103069534050881,-0.0160171879122853
8,0.121645257598029,-0.0202742978445465
16,0.144141546728457,-0.0237291647082545
32,0.129255252628032,-0.0192648861829845
64,0.0838464323943384,-0.0108864622685376
128,0.0410259609754423,-0.00500150454138635
