"n_pubs","A0","Ap","pct_slower","qos"
1,75.7119675953419,0.00114276843903849,0,0
2,78.4440486474814,0.00126752060488887,10.9166618177999,0
4,91.8716146290082,0.00158765580343143,38.9306660207783,0
8,101.532171856853,0.00178582513594706,56.2718285648163,0
16,113.874820149965,0.00214530460634476,87.7287237780022,0
32,123.2556266479,0.0028360802514355,148.176284411717,0
64,116.105146622159,0.00467301006568465,308.920119426509,0
128,92.3849061611399,0.0079708938565984,597.507350072163,0
1,68.1095681526725,0.00150130000619157,0,1
2,73.9358811549564,0.00149930319830527,-0.133005253984231,1
4,89.2363761319128,0.00162529526349276,8.25919248583349,1
8,95.6993369123716,0.00187581574193676,24.9460956638009,1
16,119.716703472799,0.00206556271274479,37.5849400004082,1
32,115.915395771384,0.00323954727219585,115.782805490942,1
64,119.558847573647,0.0044932962118291,199.29369168708,1
128,107.550819189863,0.008166179711925,443.940563394828,1
1,144.133705989339,0.00134418563680161,0,2
2,193.348426304925,0.00142912539713405,6.31904984006197,2
4,206.376918504087,0.00170884018560813,27.1282878512374,2
8,223.939119158376,0.00189855101751461,41.2417277446946,2
16,221.472707825301,0.00291100141162115,116.562454762399,2
32,243.283750433156,0.00308079798998967,129.194383992989,2
64,227.715565763591,0.00568602154140932,323.008651910521,2
128,220.156805815143,0.010082279805243,650.066027281248,2
