"n_pubs","sd","mean"
1,0.114996399065491,-0.0183806359846902
2,0.0942321665889957,-0.0139894629432873
4,0.103526380553021,-0.0154954393264284
8,0.1087436153401,-0.0171298205008893
16,0.151587788053535,0.0177153779153384
32,0.231438129163358,0.015184187638142
64,0.875733265808847,-0.210575350626064
128,1.80247986093648,-1.19814429046565
